SampleID	libType	extID	libID	sampleName	ID	sampleNumber	sampleType	samplePool	samplingTime	sampleDiet	samplingTank	New_Diet
MQ211210-38	abV4-C	EXT-CP925-36	LIB-CP925-36-A-1	T3-mc2-tk1-HGm01	T3_mc2_tk1_01	1	sample	low	T3	MC2	tk1	MC2
MQ211210-164	abV4-C	EXT-CP925-149	LIB-CP925-149-A-1	T1-mc2-tk3-HGm03	T1_mc2_tk3_03	3	sample	low	T1	MC2	tk3	CTR
MQ211210-87	abV4-C	EXT-CP925-83	LIB-CP925-83-A-1	T1-mc2-tk3-HGm07	T1_mc2_tk3_07	7	sample	low	T1	MC2	tk3	CTR
MQ211210-72	abV4-C	EXT-CP925-68	LIB-CP925-68-A-1	T1-mc2-tk3-HGm01	T1_mc2_tk3_01	1	sample	high	T1	MC2	tk3	CTR
MQ211210-29	abV4-C	EXT-CP925-27	LIB-CP925-27-A-1	T1-mc2-tk3-HGm05	T1_mc2_tk3_05	5	sample	low	T1	MC2	tk3	CTR
MQ211210-177	abV4-C	EXT-CP925-162	LIB-CP925-162-A-1	T1-mn3-tk3-HGm03	T1_mn3_tk3_03	3	sample	high	T1	MN3	tk3	MC1
MQ211210-126	abV4-C	EXT-CP925-120	LIB-CP925-120-A-1	T1-mn3-tk3-HGm01	T1_mn3_tk3_01	1	sample	high	T1	MN3	tk3	MC1
MQ211210-61	abV4-C	EXT-CP925-57	LIB-CP925-57-A-1	T1-mn3-tk3-HGm05	T1_mn3_tk3_05	5	sample	high	T1	MN3	tk3	MC1
MQ211210-22	abV4-C	EXT-CP925-22	LIB-CP925-22-A-1	T1-mn3-tk3-HGm07	T1_mn3_tk3_07	7	sample	low	T1	MN3	tk3	MC1
MQ211210-154	abV4-C	EXT-CP925-148	LIB-CP925-148-A-1	T1-mn3-tk1-HGm03	T1_mn3_tk1_03	3	sample	high	T1	MN3	tk1	MN3
MQ211210-138	abV4-C	EXT-CP925-132	LIB-CP925-132-A-1	T3-mn3-tk1-HGm07	T3_mn3_tk1_07	7	sample	high	T3	MN3	tk1	MN3
MQ211210-175	abV4-C	EXT-CP925-160	LIB-CP925-160-A-1	T3-mn3-tk1-HGm05	T3_mn3_tk1_05	5	sample	high	T3	MN3	tk1	MN3
MQ211210-47	abV4-C	EXT-CP925-43	LIB-CP925-43-A-1	T2-mn3-tk1-HGm03	T2_mn3_tk1_03	3	sample	low	T2	MN3	tk1	MN3
MQ211210-129	abV4-C	EXT-CP925-123	LIB-CP925-123-A-1	T2-mn3-tk1-HGm07	T2_mn3_tk1_07	7	sample	high	T2	MN3	tk1	MN3
MQ211210-73	abV4-C	EXT-CP925-69	LIB-CP925-69-A-1	T1-mc1-tk3-HGm05	T1_mc1_tk3_05	5	sample	high	T1	MC1	tk3	MC2
MQ211210-179	abV4-C	EXT-CP925-164	LIB-CP925-164-A-1	T1-mc1-tk3-HGm03	T1_mc1_tk3_03	3	sample	high	T1	MC1	tk3	MC2
MQ211210-14	abV4-C	EXT-CP925-14	LIB-CP925-14-A-1	T1-mc1-tk3-HGm01	T1_mc1_tk3_01	1	sample	low	T1	MC1	tk3	MC2
MQ211210-65	abV4-C	EXT-CP925-61	LIB-CP925-61-A-1	T1-mc1-tk3-HGm07	T1_mc1_tk3_07	7	sample	high	T1	MC1	tk3	MC2
MQ211210-23	abV4-C	EXT-CP925-23	LIB-CP925-23-A-1	T1-ctr-tk3-HGm01	T1_ctr_tk3_01	1	sample	low	T1	CTR	tk3	MN3
MQ211210-27	abV4-C	EXT-CP925-25	LIB-CP925-25-A-1	T1-ctr-tk3-HGm05	T1_ctr_tk3_05	5	sample	high	T1	CTR	tk3	MN3
MQ211210-152	abV4-C	EXT-CP925-146	LIB-CP925-146-A-1	T1-ctr-tk3-HGm07	T1_ctr_tk3_07	7	sample	high	T1	CTR	tk3	MN3
MQ211210-167	abV4-C	EXT-CP925-152	LIB-CP925-152-A-1	T1-ctr-tk3-HGm03	T1_ctr_tk3_03	3	sample	low	T1	CTR	tk3	MN3
MQ211210-51	abV4-C	EXT-CP925-47	LIB-CP925-47-A-1	CE2B	CE2B		ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl
MQ211210-131	abV4-C	EXT-CP925-125	LIB-CP925-125-A-1	T3-ctr-tk1-HGm03	T3_ctr_tk1_03	3	sample	high	T3	CTR	tk1	CTR
MQ211210-132	abV4-C	EXT-CP925-126	LIB-CP925-126-A-1	T3-mc1-tk2-HGm03	T3_mc1_tk2_03	3	sample	high	T3	MC1	tk2	MC1
MQ211210-52	abV4-C	EXT-CP925-48	LIB-CP925-48-A-1	T2-ctr-tk3-HGm07	T2_ctr_tk3_07	7	sample	low	T2	CTR	tk3	CTR
MQ211210-71	abV4-C	EXT-CP925-67	LIB-CP925-67-A-1	T2-mc1-tk2-HGm07	T2_mc1_tk2_07	7	sample	high	T2	MC1	tk2	MC1
MQ211210-44	abV4-C	EXT-CP925-40	LIB-CP925-40-A-1	T2-mc1-tk2-HGm01	T2_mc1_tk2_01	1	sample	low	T2	MC1	tk2	MC1
MQ211210-115	abV4-C	EXT-CP925-111	LIB-CP925-111-A-1	T1-ctr-tk1-HGm07	T1_ctr_tk1_07	7	sample	high	T1	CTR	tk1	CTR
MQ211210-70	abV4-C	EXT-CP925-66	LIB-CP925-66-A-1	T3-mn3-tk1-HGm03	T3_mn3_tk1_03	3	sample	high	T3	MN3	tk1	MN3
MQ211210-55	abV4-C	EXT-CP925-51	LIB-CP925-51-A-1	T3-ctr-tk1-HGm07	T3_ctr_tk1_07	7	sample	high	T3	CTR	tk1	CTR
MQ211210-69	abV4-C	EXT-CP925-65	LIB-CP925-65-A-1	T1-mc1-tk1-HGm07	T1_mc1_tk1_07	7	sample	high	T1	MC1	tk1	MC1
MQ211210-146	abV4-C	EXT-CP925-140	LIB-CP925-140-A-1	T3-mc1-tk2-HGm07	T3_mc1_tk2_07	7	sample	high	T3	MC1	tk2	MC1
MQ211210-173	abV4-C	EXT-CP925-158	LIB-CP925-158-A-1	T3-mc1-tk1-HGm05	T3_mc1_tk1_05	5	sample	high	T3	MC1	tk1	MC1
MQ211210-58	abV4-C	EXT-CP925-54	LIB-CP925-54-A-1	T1-mn3-tk1-HGm01	T1_mn3_tk1_01	1	sample	high	T1	MN3	tk1	MN3
MQ211210-165	abV4-C	EXT-CP925-150	LIB-CP925-150-A-1	T3-ctr-tk3-HGm03	T3_ctr_tk3_03	3	sample	high	T3	CTR	tk3	CTR
MQ211210-147	abV4-C	EXT-CP925-141	LIB-CP925-141-A-1	T3-ctr-tk3-HGm07	T3_ctr_tk3_07	7	sample	high	T3	CTR	tk3	CTR
MQ211210-94	abV4-C	EXT-CP925-90	LIB-CP925-90-A-1	T1-ctr-tk1-HGm01	T1_ctr_tk1_01	1	sample	low	T1	CTR	tk1	CTR
MQ211210-60	abV4-C	EXT-CP925-56	LIB-CP925-56-A-1	T3-mc1-tk2-HGm05	T3_mc1_tk2_05	5	sample	high	T3	MC1	tk2	MC1
MQ211210-4	abV4-C	EXT-CP925-04	LIB-CP925-04-A-1	T0-ctr-tk1-HGm03	T0_ctr_tk1_03	3	sample	low	T0	CTR	tk1	CTR
